Dashboard de Controle de Estoque,,,,,,,
,,,,,,,
,Resumo Geral das Exportações,,,,,,
,Total Exportado (USD),"USD 3.579.577,41",,,,,
,Total de DU-Es Processadas,30,,,,,
,Valor Médio por Exportação (USD),"USD 119.319,25",,,,,
,,,,,,,
,Relação Saídas vs. Consumo DU-E por Item,,,,,,
,Nº do Item,Total Saídas,Valor Total (USD),Total Vinculado a DU-Es,Saldo Disponível,Valor Médio Unitário (USD),Média Utilização/DU-E
,25BR0003384657,04/03/2025,"USD 69.526,00",Processada,,,
,25BR0003830622,07/03/2025,"USD 37.687,00",Processada,,,
,25BR0004254811,12/03/2025,"USD 47.210,50",Processada,,,
,25BR0005054069,24/03/2025,"USD 158.096,00",Processada,,,
,25BR0005241128,25/03/2025,"USD 60.040,00",Processada,,,
,25BR0005316691,28/03/2025,"USD 67.800,00",Processada,,,
,25BR0003844607,01/04/2025,"USD 49.000,00",Processada,,,
,25BR0006234699,08/04/2025,"USD 64.128,00",Processada,,,
,25BR0006539635,15/04/2025,"USD 262.982,80",Processada,,,
,25BR0007120883,25/04/2025,"USD 132.591,00",Processada,,,
,25BR0008432099,19/05/2025,"USD 70.439,00",Processada,,,
,25BR0009089991,23/05/2025,"USD 66.102,00",Processada,,,
,25BR0008320843,27/05/2025,"USD 249.717,00",Processada,,,
,25BR0009346676,31/05/2025,"USD 119.670,40",Processada,,,
,25BR0010436241,12/06/2025,"USD 78.963,00",Processada,,,
,25BR0010924750,20/06/2025,"USD 161.620,00",Processada,,,
,25BR0012555787,16/07/2025,"USD 163.230,00",Processada,,,
,25BR0012882125,21/07/2025,"USD 284.410,14",Processada,,,
,25BR0013186513,24/07/2025,"USD 59.023,00",Processada,,,
,25BR0014159390,06/08/2025,"USD 47.660,00",Processada,,,
,25BR0014669682,18/08/2025,"USD 48.729,00",Processada,,,
,25BR0015519439,28/08/2025,"USD 124.974,00",Processada,,,
,25BR0016307621,09/09/2025,"USD 123.728,00",Processada,,,
